Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Cases/1M population,Deaths/1M population,Total Tests,Tests/1M population,Population
Togo,29416,246,26113.0,3057.0,3433,29,613086.0,71558.0,8567675
Trinidad and Tobago,90829,2825,72093.0,15911.0,64590,2009,502726.0,357495.0,1406248
Tunisia,724680,25556,695993.0,3131.0,60375,2129,3342848.0,278501.0,12003013
Turkey,9402083,82059,9014490.0,305534.0,109719,958,117951480.0,1376455.0,85692215
Turks and Caicos,3283,26,3142.0,115.0,83118,658,94789.0,2399843.0,39498
UAE,759511,2162,744180.0,13169.0,75434,215,110915918.0,11016070.0,10068556
Uganda,139079,3291,98379.0,37409.0,2904,69,2136079.0,44603.0,47890461
UK,12559926,148089,10229561.0,2182276.0,183577,2164,395579689.0,5781814.0,68417926
Ukraine,3660620,95690,3460249.0,104681.0,84460,2208,16757339.0,386633.0,43341670
Uruguay,410311,6168,398220.0,5923.0,117511,1766,4379860.0,1254367.0,3491689
USA,54656866,844272,41408291.0,12404303.0,163693,2529,809008481.0,2422923.0,333897730
Uzbekistan,198769,1485,195840.0,1444.0,5813,43,1377915.0,40299.0,34192202
Venezuela,444186,5321,433208.0,5657.0,15687,188,3359014.0,118627.0,28315717
Vietnam,1694874,31877,1302542.0,360455.0,17182,323,74476728.0,755000.0,98644616
Yemen,10126,1984,7020.0,1122.0,329,64,265253.0,8611.0,30804358
Zambia,249193,3730,216666.0,28797.0,13012,195,2943337.0,153696.0,19150328
Zimbabwe,209655,4967,173916.0,30772.0,13806,327,1829447.0,120474.0,15185418
